,IC50_nM
2251,9.0
2253,37.0
2254,11.0
2255,36.0
2256,201.0
2257,708.0
2258,20.0
2260,163.0
2261,28.0
2262,4.3
2263,33.0
2264,107.0
2265,94.0
2266,17.0
2267,12.0
2268,44.0
2269,85.0
2270,13.0
2273,2760.0
2274,140.0
2275,320.0
2277,13.0
2278,6.0
2280,237.0
2284,117.0
2285,138.0
2286,154.0
2287,2000.0
2288,36.0
2289,26.0
2290,22.0
2291,9.0
2292,35.0
2293,12.0
2294,28.0
2295,116.0
2296,20.0
2298,35.0
2299,178.0
2300,20.0
2301,27.0
2302,17.0
2303,21.0
2304,13.0
2305,8.0
2306,180.0
2307,32.0
2308,21.0
2310,10.0
2311,10.0
2312,35.0
2313,15.0
2314,476.0
2315,47.0
2316,19.0
2317,26.0
2319,132.0
2320,8.0
2321,12.0
2322,36.0
2323,180.0
2324,65.0
2325,6.0
2326,16.0
2327,34.0
2328,105.0
2329,128.0
2331,68.0
2333,32.0
2334,44.0
2335,25.0
2336,107.0
2337,13.5
2338,32.0
2340,8.0
2342,13.0
2343,33.0
2344,119.0
2346,9.3
2347,31.0
2349,120.0
2350,122.0
2351,480.0
2354,160.0
2355,2734.0
2358,6500.0
2359,44.0
2360,19.0
2361,360.0
2362,4700.0
2365,200.0
2366,46050.0
2367,4100.0
2370,300.0
2371,7461.0
2372,450.0
2375,802.0
2376,2000.0
2377,637.0
2379,11000.0
2380,230.0
2384,58.0
2385,2800.0
2387,67.0
2389,3000.0
2390,6669.0
2392,100.0
2393,284.0
2394,300.0
2395,120.0
2396,1080.0
2397,370.0
2399,584.3
2402,995.5
2403,99.0
2404,397.5
2405,100.3
2406,108.0
2407,30000.0
2408,69.0
2409,199.6
2410,995.7
2411,46.3
2412,226.2
2413,433.8
2414,1783.0
2415,112.4
2416,4411.0
2417,3800.0
2418,30000.0
2419,1034.0
2421,345.3
2422,81.6
2423,94.0
2424,771.5
2425,2006.0
2427,2521.0
2429,936.8
2430,278.2
2431,63.8
2433,1096.0
2434,731.0
2435,80.0
2436,123.8
2437,89.0
2438,521.7
2439,200.0
2440,71.0
2441,390.1
2442,404.0
2443,99.8
2444,67.0
2445,841.4
2446,2048.0
2447,46440.0
2448,275.6
2449,1600.0
2450,138.0
2451,81.0
2452,32.0
2453,334.3
2454,110.0
2455,541.1
2456,220.0
2457,771.5
2458,426.1
2459,232.5
2461,21.6
2462,77.0
2463,200.0
2464,120.0
2465,14040.0
2467,239.0
2469,15.0
