,IC50_nM
505,15.0
506,170.0
507,180.0
508,12.0
509,180.0
510,5400.0
511,3500.0
512,2200.0
513,1900.0
514,590.0
515,440.0
516,1000.0
517,5600.0
518,16000.0
519,18000.0
521,249.0
522,15.0
523,106.0
524,76.0
525,10.0
526,65.0
527,25.0
528,218.0
529,17.0
530,55.0
531,9.0
532,22.0
533,19.0
534,92.0
535,36.0
536,6.0
537,29.0
538,49.0
539,36.0
540,24.0
541,280.0
542,115.0
543,76.0
544,31.0
546,50.0
547,18.0
548,5500.0
549,5400.0
550,4200.0
551,4400.0
552,220.0
553,6200.0
554,300.0
555,1000.0
556,10900.0
557,13000.0
558,9300.0
559,7100.0
560,550.0
561,100.0
562,2100.0
563,330.0
564,370.0
565,190.0
566,750.0
567,1340.0
568,2120.0
569,4800.0
570,360.0
571,10000.0
572,640.0
573,200.0
574,3600.0
575,1900.0
576,250.0
577,8700.0
578,1290.0
579,1930.0
580,2090.0
581,820.0
582,4220.0
583,730.0
584,230.0
585,370.0
586,1500.0
587,1600.0
588,50.0
589,54.0
590,11.0
591,22.0
592,11.0
593,29.0
594,20.0
595,89.0
596,10.0
597,10.0
598,500.0
599,3.0
600,3.0
601,710.0
602,240.0
603,530.0
604,38.0
605,610.0
606,26.0
607,18.0
608,76.0
609,54.0
610,3.0
611,8.6
612,3.8
613,15.0
614,4.9
615,3.4
616,4.8
617,9.2
618,4.9
619,4.9
620,5.0
621,12.0
622,3.3
623,70.0
624,6.0
625,16.0
626,9.4
627,18.0
628,21.0
629,5.1
630,5.2
631,15.0
632,40.0
633,6.4
634,8.4
635,6.2
636,3.2
637,5000.0
638,4800.0
640,1995.26
641,1258.93
642,158.49
643,1258.93
646,63.1
652,31.62
653,12.59
654,398.11
655,19.95
656,7943.28
657,398.11
658,79.43
659,25118.86
660,501.19
661,25118.86
662,25118.86
663,100.0
664,501.19
665,15.85
666,5.012
667,6.31
668,10.0
669,1000.0
670,63.1
671,158.49
672,7.943
673,398.11
674,5.012
675,6.31
676,10.0
677,7943.28
678,5.012
679,3.981
680,6.31
681,3.981
683,5.012
684,3.162
685,6.31
686,3.981
687,10.0
688,6.31
689,7.943
690,6.31
691,180.0
692,110.0
693,50.0
694,6.9
695,4.0
696,5.0
697,100.0
698,410.0
699,26.0
700,641.0
701,28.0
702,6420.0
703,230.0
704,134.0
705,974.0
706,96.0
707,45.0
708,480.0
709,7.0
710,11000.0
711,30000.0
712,200.0
713,56.0
714,10.0
715,72.0
716,72.0
717,4200.0
718,1500.0
719,3800.0
720,3200.0
721,10000.0
722,4700.0
723,7800.0
724,210.0
725,520.0
726,2800.0
727,520.0
728,630.0
729,6500.0
730,910.0
731,10000.0
732,1900.0
733,8100.0
734,10000.0
735,10000.0
736,6400.0
738,93290.0
739,3650.0
740,93850.0
741,7510.0
743,1030.0
744,14680.0
745,8280.0
746,27220.0
747,67050.0
748,3370.0
749,3980.0
750,1390.0
751,6060.0
752,770.0
755,8340.0
757,112250.0
758,620.0
761,220.0
765,81.0
766,149.0
